match_id,season_id,division,group_id,player_a_id,player_b_id,score_a,score_b,winner_id,score_model
2012-s3-A-GF-0-5,2012-s3,A,2012-s3-A-GF,P1587,P1819,4,6,P1819,set-scores
2012-s3-A-GF-0-6,2012-s3,A,2012-s3-A-GF,P1587,P1627,5,5,,set-scores
2012-s3-A-GF-1-2,2012-s3,A,2012-s3-A-GF,P0223,P1791,5,5,,set-scores
2012-s3-A-GF-1-4,2012-s3,A,2012-s3-A-GF,P0223,P1783,4,6,P1783,set-scores
2012-s3-A-GF-1-5,2012-s3,A,2012-s3-A-GF,P0223,P1819,2,8,P1819,set-scores
2012-s3-A-GF-1-6,2012-s3,A,2012-s3-A-GF,P0223,P1627,6,4,P0223,set-scores
2012-s3-A-GF-2-3,2012-s3,A,2012-s3-A-GF,P1791,P1822,10,0,P1791,set-scores
2012-s3-A-GF-2-4,2012-s3,A,2012-s3-A-GF,P1791,P1783,5,5,,set-scores
2012-s3-A-GF-2-5,2012-s3,A,2012-s3-A-GF,P1791,P1819,6,4,P1791,set-scores
2012-s3-A-GF-2-6,2012-s3,A,2012-s3-A-GF,P1791,P1627,5,5,,set-scores
2012-s3-A-GF-4-5,2012-s3,A,2012-s3-A-GF,P1783,P1819,6,4,P1783,set-scores
2012-s3-A-GF-4-6,2012-s3,A,2012-s3-A-GF,P1783,P1627,3,7,P1627,set-scores
2012-s3-A-GF-5-6,2012-s3,A,2012-s3-A-GF,P1819,P1627,5,5,,set-scores
2012-s3-B-GA-0-1,2012-s3,B,2012-s3-B-GA,P1778,P1844,9,1,P1778,set-scores
2012-s3-B-GA-0-2,2012-s3,B,2012-s3-B-GA,P1778,P1586,6,4,P1778,set-scores
2012-s3-B-GA-0-3,2012-s3,B,2012-s3-B-GA,P1778,P1798,7,3,P1778,set-scores
2012-s3-B-GA-0-4,2012-s3,B,2012-s3-B-GA,P1778,P1823,6,4,P1778,set-scores
2012-s3-B-GA-0-5,2012-s3,B,2012-s3-B-GA,P1778,P1800,7,3,P1778,set-scores
2012-s3-B-GA-1-2,2012-s3,B,2012-s3-B-GA,P1844,P1586,6,4,P1844,set-scores
2012-s3-B-GA-1-4,2012-s3,B,2012-s3-B-GA,P1844,P1823,3,7,P1823,set-scores
2012-s3-B-GA-1-5,2012-s3,B,2012-s3-B-GA,P1844,P1800,4,6,P1800,set-scores
2012-s3-B-GA-2-3,2012-s3,B,2012-s3-B-GA,P1586,P1798,6,4,P1586,set-scores
2012-s3-B-GA-2-4,2012-s3,B,2012-s3-B-GA,P1586,P1823,6,4,P1586,set-scores
2012-s3-B-GA-2-5,2012-s3,B,2012-s3-B-GA,P1586,P1800,6,4,P1586,set-scores
2012-s3-B-GA-3-4,2012-s3,B,2012-s3-B-GA,P1798,P1823,2,8,P1823,set-scores
2012-s3-B-GA-3-5,2012-s3,B,2012-s3-B-GA,P1798,P1800,3,7,P1800,set-scores
2012-s3-B-GA-4-5,2012-s3,B,2012-s3-B-GA,P1823,P1800,8,2,P1823,set-scores
2012-s3-B-GA-4-6,2012-s3,B,2012-s3-B-GA,P1823,P0248,4,6,P0248,set-scores
2012-s3-B-GB-0-1,2012-s3,B,2012-s3-B-GB,P1781,P1664,3,7,P1664,set-scores
2012-s3-B-GB-0-2,2012-s3,B,2012-s3-B-GB,P1781,P1762,4,6,P1762,set-scores
2012-s3-B-GB-0-3,2012-s3,B,2012-s3-B-GB,P1781,P1733,6,4,P1781,set-scores
2012-s3-B-GB-0-5,2012-s3,B,2012-s3-B-GB,P1781,P1827,4,6,P1827,set-scores
2012-s3-B-GB-0-6,2012-s3,B,2012-s3-B-GB,P1781,P1790,0,10,P1790,set-scores
2012-s3-B-GB-1-2,2012-s3,B,2012-s3-B-GB,P1664,P1762,7,3,P1664,set-scores
2012-s3-B-GB-1-3,2012-s3,B,2012-s3-B-GB,P1664,P1733,4,6,P1733,set-scores
2012-s3-B-GB-1-5,2012-s3,B,2012-s3-B-GB,P1664,P1827,8,2,P1664,set-scores
2012-s3-B-GB-1-6,2012-s3,B,2012-s3-B-GB,P1664,P1790,5,5,,set-scores
2012-s3-B-GB-2-3,2012-s3,B,2012-s3-B-GB,P1762,P1733,0,10,P1733,set-scores
2012-s3-B-GB-3-5,2012-s3,B,2012-s3-B-GB,P1733,P1827,8,2,P1733,set-scores
2012-s3-B-GB-3-6,2012-s3,B,2012-s3-B-GB,P1733,P1790,6,4,P1733,set-scores
2012-s3-B-GC-0-1,2012-s3,B,2012-s3-B-GC,P1794,P1646,7,3,P1794,set-scores
2012-s3-B-GC-0-2,2012-s3,B,2012-s3-B-GC,P1794,P1439,2,8,P1439,set-scores
2012-s3-B-GC-0-3,2012-s3,B,2012-s3-B-GC,P1794,P1746,0,10,P1746,set-scores
2012-s3-B-GC-0-6,2012-s3,B,2012-s3-B-GC,P1794,P1805,4,6,P1805,set-scores
2012-s3-B-GC-1-2,2012-s3,B,2012-s3-B-GC,P1646,P1439,4,6,P1439,set-scores
2012-s3-B-GC-1-3,2012-s3,B,2012-s3-B-GC,P1646,P1746,1,9,P1746,set-scores
2012-s3-B-GC-1-5,2012-s3,B,2012-s3-B-GC,P1646,P1792,6,4,P1646,set-scores
2012-s3-B-GC-1-6,2012-s3,B,2012-s3-B-GC,P1646,P1805,3,7,P1805,set-scores
2012-s3-B-GC-2-3,2012-s3,B,2012-s3-B-GC,P1439,P1746,4,6,P1746,set-scores
2012-s3-B-GC-2-4,2012-s3,B,2012-s3-B-GC,P1439,P1394,9,1,P1439,set-scores
2012-s3-B-GC-2-5,2012-s3,B,2012-s3-B-GC,P1439,P1792,7,3,P1439,set-scores
2012-s3-B-GC-2-6,2012-s3,B,2012-s3-B-GC,P1439,P1805,4,6,P1805,set-scores
2012-s3-B-GC-3-6,2012-s3,B,2012-s3-B-GC,P1746,P1805,8,2,P1746,set-scores
2012-s3-B-GC-4-5,2012-s3,B,2012-s3-B-GC,P1394,P1792,6,4,P1394,set-scores
2012-s3-B-GC-4-6,2012-s3,B,2012-s3-B-GC,P1394,P1805,4,6,P1805,set-scores
2012-s3-B-GC-5-6,2012-s3,B,2012-s3-B-GC,P1792,P1805,3,7,P1805,set-scores
2012-s3-B-GD-0-1,2012-s3,B,2012-s3-B-GD,P1786,P1813,3,7,P1813,set-scores
2012-s3-B-GD-0-2,2012-s3,B,2012-s3-B-GD,P1786,P1686,3,7,P1686,set-scores
2012-s3-B-GD-0-3,2012-s3,B,2012-s3-B-GD,P1786,P1811,6,4,P1786,set-scores
2012-s3-B-GD-0-4,2012-s3,B,2012-s3-B-GD,P1786,P1381,7,3,P1786,set-scores
2012-s3-B-GD-0-5,2012-s3,B,2012-s3-B-GD,P1786,P1807,5,5,,set-scores
2012-s3-B-GD-1-2,2012-s3,B,2012-s3-B-GD,P1813,P1686,5,5,,set-scores
2012-s3-B-GD-1-4,2012-s3,B,2012-s3-B-GD,P1813,P1381,4,6,P1381,set-scores
2012-s3-B-GD-1-5,2012-s3,B,2012-s3-B-GD,P1813,P1807,4,6,P1807,set-scores
2012-s3-B-GD-1-6,2012-s3,B,2012-s3-B-GD,P1813,P1744,7,3,P1813,set-scores
2012-s3-B-GD-2-4,2012-s3,B,2012-s3-B-GD,P1686,P1381,10,0,P1686,set-scores
2012-s3-B-GD-2-5,2012-s3,B,2012-s3-B-GD,P1686,P1807,7,3,P1686,set-scores
2012-s3-B-GD-2-6,2012-s3,B,2012-s3-B-GD,P1686,P1744,10,0,P1686,set-scores
2012-s3-B-GD-3-4,2012-s3,B,2012-s3-B-GD,P1811,P1381,3,7,P1381,set-scores
2012-s3-B-GD-3-5,2012-s3,B,2012-s3-B-GD,P1811,P1807,7,3,P1811,set-scores
2012-s3-B-GD-3-6,2012-s3,B,2012-s3-B-GD,P1811,P1744,8,2,P1811,set-scores
2012-s3-B-GD-4-5,2012-s3,B,2012-s3-B-GD,P1381,P1807,4,6,P1807,set-scores
2012-s3-B-GD-5-6,2012-s3,B,2012-s3-B-GD,P1807,P1744,8,2,P1807,set-scores
2012-s3-B-GE-0-1,2012-s3,B,2012-s3-B-GE,P1735,P1736,6,4,P1735,set-scores
2012-s3-B-GE-0-2,2012-s3,B,2012-s3-B-GE,P1735,P1717,7,3,P1735,set-scores
2012-s3-B-GE-0-3,2012-s3,B,2012-s3-B-GE,P1735,P1183,2,8,P1183,set-scores
2012-s3-B-GE-0-4,2012-s3,B,2012-s3-B-GE,P1735,P1774,4,6,P1774,set-scores
2012-s3-B-GE-0-5,2012-s3,B,2012-s3-B-GE,P1735,P1737,7,3,P1735,set-scores
2012-s3-B-GE-0-6,2012-s3,B,2012-s3-B-GE,P1735,P1730,3,7,P1730,set-scores
2012-s3-B-GE-1-2,2012-s3,B,2012-s3-B-GE,P1736,P1717,1,9,P1717,set-scores
2012-s3-B-GE-1-3,2012-s3,B,2012-s3-B-GE,P1736,P1183,3,7,P1183,set-scores
2012-s3-B-GE-1-5,2012-s3,B,2012-s3-B-GE,P1736,P1737,0,10,P1737,set-scores
2012-s3-B-GE-2-3,2012-s3,B,2012-s3-B-GE,P1717,P1183,4,6,P1183,set-scores
2012-s3-B-GE-2-4,2012-s3,B,2012-s3-B-GE,P1717,P1774,2,8,P1774,set-scores
2012-s3-B-GE-2-5,2012-s3,B,2012-s3-B-GE,P1717,P1737,4,6,P1737,set-scores
2012-s3-B-GE-2-6,2012-s3,B,2012-s3-B-GE,P1717,P1730,0,10,P1730,set-scores
2012-s3-B-GE-3-4,2012-s3,B,2012-s3-B-GE,P1183,P1774,6,4,P1183,set-scores
2012-s3-B-GE-3-5,2012-s3,B,2012-s3-B-GE,P1183,P1737,5,5,,set-scores
2012-s3-B-GE-3-6,2012-s3,B,2012-s3-B-GE,P1183,P1730,9,1,P1183,set-scores
2012-s3-B-GE-4-5,2012-s3,B,2012-s3-B-GE,P1774,P1737,4,6,P1737,set-scores
2012-s3-B-GE-4-6,2012-s3,B,2012-s3-B-GE,P1774,P1730,4,6,P1730,set-scores
2012-s3-B-GE-5-6,2012-s3,B,2012-s3-B-GE,P1737,P1730,8,2,P1737,set-scores
2012-s4-A-GA-0-1,2012-s4,A,2012-s4-A-GA,P1588,P0962,8,2,P1588,set-scores
2012-s4-A-GA-0-2,2012-s4,A,2012-s4-A-GA,P1588,P0368,4,6,P0368,set-scores
