player_lo_id,player_hi_id,matches,lo_wins,hi_wins,draws,lo_games,hi_games,group_matches,playoff_matches,last_season
P0114,P0140,1,0,1,0,4,6,1,0,2005-s4
P0114,P0138,1,0,1,0,4,6,1,0,2005-s4
P0088,P0114,1,0,1,0,0,10,1,0,2005-s4
P0114,P0119,1,0,0,1,5,5,1,0,2005-s4
P0075,P0114,1,0,1,0,2,8,1,0,2005-s4
P0138,P0140,1,0,1,0,4,6,1,0,2005-s4
P0088,P0140,1,0,1,0,3,7,1,0,2005-s4
P0119,P0140,1,0,1,0,4,6,1,0,2005-s4
P0075,P0140,1,0,0,1,5,5,1,0,2005-s4
P0088,P0138,1,1,0,0,6,4,1,0,2005-s4
P0119,P0138,1,0,1,0,2,8,1,0,2005-s4
P0075,P0138,1,0,1,0,4,6,1,0,2005-s4
P0088,P0119,1,0,1,0,3,7,1,0,2005-s4
P0075,P0088,1,1,0,0,7,3,1,0,2005-s4
P0075,P0119,1,1,0,0,6,4,1,0,2005-s4
P0005,P0042,1,1,0,0,8,2,1,0,2005-s4
P0005,P0045,1,1,0,0,10,0,1,0,2005-s4
P0005,P0074,1,0,0,1,5,5,1,0,2005-s4
P0002,P0005,1,0,1,0,4,6,1,0,2005-s4
P0005,P0098,1,1,0,0,7,3,1,0,2005-s4
P0005,P0020,1,1,0,0,7,3,1,0,2005-s4
P0042,P0045,1,1,0,0,10,0,1,0,2005-s4
P0042,P0074,1,1,0,0,8,2,1,0,2005-s4
P0002,P0042,1,0,1,0,3,7,1,0,2005-s4
P0042,P0098,1,1,0,0,7,3,1,0,2005-s4
P0020,P0042,1,1,0,0,6,4,1,0,2005-s4
P0045,P0074,1,0,1,0,4,6,1,0,2005-s4
P0002,P0045,1,0,1,0,4,6,1,0,2005-s4
P0045,P0098,1,1,0,0,6,4,1,0,2005-s4
P0002,P0074,1,0,1,0,3,7,1,0,2005-s4
P0074,P0098,1,1,0,0,7,3,1,0,2005-s4
P0020,P0074,1,1,0,0,10,0,1,0,2005-s4
P0002,P0098,1,1,0,0,6,4,1,0,2005-s4
P0002,P0020,1,1,0,0,8,2,1,0,2005-s4
P0020,P0098,1,1,0,0,10,0,1,0,2005-s4
P0094,P0105,1,1,0,0,7,3,1,0,2005-s4
P0104,P0105,1,1,0,0,6,4,1,0,2005-s4
P0076,P0105,1,1,0,0,8,2,1,0,2005-s4
P0064,P0105,1,0,1,0,4,6,1,0,2005-s4
P0105,P0146,1,1,0,0,8,2,1,0,2005-s4
P0105,P0110,1,1,0,0,6,4,1,0,2005-s4
P0076,P0094,2,1,1,0,6,14,2,0,2006-s1
P0064,P0094,1,0,0,1,5,5,1,0,2005-s4
P0094,P0146,1,1,0,0,9,1,1,0,2005-s4
P0094,P0110,1,1,0,0,10,0,1,0,2005-s4
P0076,P0104,1,0,0,1,5,5,1,0,2005-s4
P0064,P0104,1,0,1,0,2,8,1,0,2005-s4
P0104,P0146,1,1,0,0,8,2,1,0,2005-s4
P0104,P0110,1,1,0,0,10,0,1,0,2005-s4
P0064,P0076,1,0,1,0,3,7,1,0,2005-s4
P0076,P0146,2,2,0,0,13,7,2,0,2006-s2
P0076,P0110,1,1,0,0,6,4,1,0,2005-s4
P0064,P0146,1,0,1,0,4,6,1,0,2005-s4
P0064,P0110,1,1,0,0,7,3,1,0,2005-s4
P0110,P0146,1,1,0,0,6,4,1,0,2005-s4
P0024,P0050,1,0,1,0,4,6,1,0,2005-s4
